"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"1 
White","4,027","44.19%","82.83%","835","70.94%","17.17%","4,862","47.25%"
"2 
Black","4,808","52.76%","93.56%","331","28.12%","6.44%","5,139","49.94%"
"5 
Other","2",".02%","66.67%","1",".08%","33.33%","3",".03%"
"6 
Asian","33",".36%","94.29%","2",".17%","5.71%","35",".34%"
"9 
Unknown","2",".02%","100.00%","","","","2",".02%"
"10 
Hispanic","235","2.58%","97.11%","7",".59%","2.89%","242","2.35%"
"12 
Native American","6",".07%","85.71%","1",".08%","14.29%","7",".07%"
"Total Reported","9,113","100%","88.56%","1,177","100%","11.44%","10,290","100%"
