"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"1 
White","5,061","40.95%","83.49%","1,001","70.25%","16.51%","6,062","43.98%"
"2 
Black","6,865","55.55%","94.42%","406","28.49%","5.58%","7,271","52.75%"
"5 
Other","4",".03%","100.00%","","","","4",".03%"
"6 
Asian","45",".36%","93.75%","3",".21%","6.25%","48",".35%"
"9 
Unknown","1",".01%","100.00%","","","","1",".01%"
"10 
Hispanic","375","3.03%","96.15%","15","1.05%","3.85%","390","2.83%"
"12 
Native American","7",".06%","100.00%","","","","7",".05%"
"Total Reported","12,358","100%","89.66%","1,425","100%","10.34%","13,783","100%"
