"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"1 
White","5,655","41.99%","83.11%","1,149","65.51%","16.89%","6,804","44.70%"
"2 
Black","7,420","55.10%","92.77%","578","32.95%","7.23%","7,998","52.55%"
"5 
Other","3",".02%","42.86%","4",".23%","57.14%","7",".05%"
"6 
Asian","40",".30%","95.24%","2",".11%","4.76%","42",".28%"
"9 
Unknown","","","","1",".06%","100.00%","1",".01%"
"10 
Hispanic","339","2.52%","94.96%","18","1.03%","5.04%","357","2.35%"
"12 
Native American","9",".07%","81.82%","2",".11%","18.18%","11",".07%"
"Total Reported","13,466","100%","88.48%","1,754","100%","11.52%","15,220","100%"
