"Race Group","M Count","M Col %","M Row %","F Count","F Col %","F Row %","Total","Col %"
"White","6,003","34.61%","84.91%","1,067","54.19%","15.09%","7,070","36.60%"
"Black","10,503","60.55%","92.49%","853","43.32%","7.51%","11,356","58.79%"
"Other
1 2 5 6 9","11",".06%","64.71%","6",".30%","35.29%","17",".09%"
"Asian","46",".27%","92.00%","4",".20%","8.00%","50",".26%"
"Unknown","1",".01%","100.00%","","","","1",".01%"
"10
Hispanic","778","4.48%","95.69%","35","1.78%","4.31%","813","4.21%"
"12
Native American","5",".03%","62.50%","3",".15%","37.50%","8",".04%"
"13
Native Hawaiian","","","","1",".05%","100.00%","1",".01%"
"Total Reported","17,347","100%","89.81%","1,969","100%","10.19%","19,316","100%"
